,Postcode,Borough,Neighbourhood
0,M1A,Not assigned,Not assigned
1,M2A,Not assigned,Not assigned
2,M3A,North York,Parkwoods
3,M4A,North York,Victoria Village
4,M5A,Downtown Toronto,Harbourfront
5,M6A,North York,Lawrence Heights
6,M6A,North York,Lawrence Manor
7,M7A,Queen's Park,Not assigned
8,M8A,Not assigned,Not assigned
9,M9A,Downtown Toronto,Queen's Park
10,M1B,Scarborough,Rouge
11,M1B,Scarborough,Malvern
12,M2B,Not assigned,Not assigned
13,M3B,North York,Don Mills North
14,M4B,East York,Woodbine Gardens
15,M4B,East York,Parkview Hill
16,M5B,Downtown Toronto,Ryerson
17,M5B,Downtown Toronto,Garden District
18,M6B,North York,Glencairn
19,M7B,Not assigned,Not assigned
20,M8B,Not assigned,Not assigned
21,M9B,Etobicoke,Cloverdale
22,M9B,Etobicoke,Islington
23,M9B,Etobicoke,Martin Grove
24,M9B,Etobicoke,Princess Gardens
25,M9B,Etobicoke,West Deane Park
26,M1C,Scarborough,Highland Creek
27,M1C,Scarborough,Rouge Hill
28,M1C,Scarborough,Port Union
29,M2C,Not assigned,Not assigned
30,M3C,North York,Flemingdon Park
31,M3C,North York,Don Mills South
32,M4C,East York,Woodbine Heights
33,M5C,Downtown Toronto,St. James Town
34,M6C,York,Humewood-Cedarvale
35,M7C,Not assigned,Not assigned
36,M8C,Not assigned,Not assigned
37,M9C,Etobicoke,Bloordale Gardens
38,M9C,Etobicoke,Eringate
39,M9C,Etobicoke,Markland Wood
40,M9C,Etobicoke,Old Burnhamthorpe
41,M1E,Scarborough,Guildwood
42,M1E,Scarborough,Morningside
43,M1E,Scarborough,West Hill
44,M2E,Not assigned,Not assigned
45,M3E,Not assigned,Not assigned
46,M4E,East Toronto,The Beaches
47,M5E,Downtown Toronto,Berczy Park
48,M6E,York,Caledonia-Fairbanks
49,M7E,Not assigned,Not assigned
50,M8E,Not assigned,Not assigned
51,M9E,Not assigned,Not assigned
52,M1G,Scarborough,Woburn
53,M2G,Not assigned,Not assigned
54,M3G,Not assigned,Not assigned
55,M4G,East York,Leaside
56,M5G,Downtown Toronto,Central Bay Street
57,M6G,Downtown Toronto,Christie
58,M7G,Not assigned,Not assigned
59,M8G,Not assigned,Not assigned
60,M9G,Not assigned,Not assigned
61,M1H,Scarborough,Cedarbrae
62,M2H,North York,Hillcrest Village
63,M3H,North York,Bathurst Manor
64,M3H,North York,Downsview North
65,M3H,North York,Wilson Heights
66,M4H,East York,Thorncliffe Park
67,M5H,Downtown Toronto,Adelaide
68,M5H,Downtown Toronto,King
69,M5H,Downtown Toronto,Richmond
70,M6H,West Toronto,Dovercourt Village
71,M6H,West Toronto,Dufferin
72,M7H,Not assigned,Not assigned
73,M8H,Not assigned,Not assigned
74,M9H,Not assigned,Not assigned
75,M1J,Scarborough,Scarborough Village
76,M2J,North York,Fairview
77,M2J,North York,Henry Farm
78,M2J,North York,Oriole
79,M3J,North York,Northwood Park
80,M3J,North York,York University
81,M4J,East York,East Toronto
82,M5J,Downtown Toronto,Harbourfront East
83,M5J,Downtown Toronto,Toronto Islands
84,M5J,Downtown Toronto,Union Station
85,M6J,West Toronto,Little Portugal
86,M6J,West Toronto,Trinity
87,M7J,Not assigned,Not assigned
88,M8J,Not assigned,Not assigned
89,M9J,Not assigned,Not assigned
90,M1K,Scarborough,East Birchmount Park
91,M1K,Scarborough,Ionview
92,M1K,Scarborough,Kennedy Park
93,M2K,North York,Bayview Village
94,M3K,North York,CFB Toronto
95,M3K,North York,Downsview East
96,M4K,East Toronto,The Danforth West
97,M4K,East Toronto,Riverdale
98,M5K,Downtown Toronto,Design Exchange
99,M5K,Downtown Toronto,Toronto Dominion Centre
100,M6K,West Toronto,Brockton
101,M6K,West Toronto,Exhibition Place
102,M6K,West Toronto,Parkdale Village
103,M7K,Not assigned,Not assigned
104,M8K,Not assigned,Not assigned
105,M9K,Not assigned,Not assigned
106,M1L,Scarborough,Clairlea
107,M1L,Scarborough,Golden Mile
108,M1L,Scarborough,Oakridge
109,M2L,North York,Silver Hills
110,M2L,North York,York Mills
111,M3L,North York,Downsview West
112,M4L,East Toronto,The Beaches West
113,M4L,East Toronto,India Bazaar
114,M5L,Downtown Toronto,Commerce Court
115,M5L,Downtown Toronto,Victoria Hotel
116,M6L,North York,Downsview
117,M6L,North York,North Park
118,M6L,North York,Upwood Park
119,M7L,Not assigned,Not assigned
120,M8L,Not assigned,Not assigned
121,M9L,North York,Humber Summit
122,M1M,Scarborough,Cliffcrest
123,M1M,Scarborough,Cliffside
124,M1M,Scarborough,Scarborough Village West
125,M2M,North York,Newtonbrook
126,M2M,North York,Willowdale
127,M3M,North York,Downsview Central
128,M4M,East Toronto,Studio District
129,M5M,North York,Bedford Park
130,M5M,North York,Lawrence Manor East
131,M6M,York,Del Ray
132,M6M,York,Keelesdale
133,M6M,York,Mount Dennis
134,M6M,York,Silverthorn
135,M7M,Not assigned,Not assigned
136,M8M,Not assigned,Not assigned
137,M9M,North York,Emery
138,M9M,North York,Humberlea
139,M1N,Scarborough,Birch Cliff
140,M1N,Scarborough,Cliffside West
141,M2N,North York,Willowdale South
